"tag","SIMNO","NSIMS","PSP","PPI","PICPT","PHALF","RELHR","LOWP","DCREL"
"Calibrate",1000,100,0.1,0,3.59,35,1,0.215,1
"Calibrate",1001,100,0.102,0,3.59,35,1,0.215,1
"Calibrate",1002,100,0.104,0,3.59,35,1,0.215,1
"Calibrate",1003,100,0.106,0,3.59,35,1,0.215,1
"Calibrate",1004,100,0.108,0,3.59,35,1,0.215,1
"Table1",2000,250,0.104,0,3.59,35,1,0.215,1
"Table1",2001,250,0.2,0,3.59,35,1,0.215,1
"Table1",2002,250,0.4,0,3.59,35,1,0.215,1
"Table1",2003,250,0.5,0,3.59,35,1,0.215,1
"Table1",2004,250,0.104,0.25,3.59,35,1,0.215,1
"Table1",2005,250,0.2,0.25,3.59,35,1,0.215,1
"Table1",2006,250,0.4,0.25,3.59,35,1,0.215,1
"Table1",2007,250,0.5,0.25,3.59,35,1,0.215,1
"Table1",2008,250,0.104,0.5,3.59,35,1,0.215,1
"Table1",2009,250,0.2,0.5,3.59,35,1,0.215,1
"Table1",2010,250,0.4,0.5,3.59,35,1,0.215,1
"Table1",2011,250,0.5,0.5,3.59,35,1,0.215,1
"Table1",2012,250,0.104,0.75,3.59,35,1,0.215,1
"Table1",2013,250,0.2,0.75,3.59,35,1,0.215,1
"Table1",2014,250,0.4,0.75,3.59,35,1,0.215,1
"Table1",2015,250,0.5,0.75,3.59,35,1,0.215,1
"Table1",2016,250,0.104,1,3.59,35,1,0.215,1
"Table1",2017,250,0.2,1,3.59,35,1,0.215,1
"Table1",2018,250,0.4,1,3.59,35,1,0.215,1
"Table1",2019,250,0.5,1,3.59,35,1,0.215,1
"Figure1",3000,250,0,0,3.59,35,1,0.215,1
"Figure1",3001,250,0.1,0,3.59,35,1,0.215,1
"Figure1",3002,250,0.2,0,3.59,35,1,0.215,1
"Figure1",3003,250,0.3,0,3.59,35,1,0.215,1
"Figure1",3004,250,0.4,0,3.59,35,1,0.215,1
"Figure1",3005,250,0.5,0,3.59,35,1,0.215,1
"Figure1",3006,250,0.6,0,3.59,35,1,0.215,1
"Figure1",3007,250,0.7,0,3.59,35,1,0.215,1
"Figure1",3008,250,0.8,0,3.59,35,1,0.215,1
"Figure1",3009,250,0.9,0,3.59,35,1,0.215,1
"Figure1",3010,250,1,0,3.59,35,1,0.215,1
"Figure1",3011,250,0,0.1,3.59,35,1,0.215,1
"Figure1",3012,250,0.1,0.1,3.59,35,1,0.215,1
"Figure1",3013,250,0.2,0.1,3.59,35,1,0.215,1
"Figure1",3014,250,0.3,0.1,3.59,35,1,0.215,1
"Figure1",3015,250,0.4,0.1,3.59,35,1,0.215,1
"Figure1",3016,250,0.5,0.1,3.59,35,1,0.215,1
"Figure1",3017,250,0.6,0.1,3.59,35,1,0.215,1
"Figure1",3018,250,0.7,0.1,3.59,35,1,0.215,1
"Figure1",3019,250,0.8,0.1,3.59,35,1,0.215,1
"Figure1",3020,250,0.9,0.1,3.59,35,1,0.215,1
"Figure1",3021,250,1,0.1,3.59,35,1,0.215,1
"Figure1",3022,250,0,0.2,3.59,35,1,0.215,1
"Figure1",3023,250,0.1,0.2,3.59,35,1,0.215,1
